source,primary_id,name,version,loader,file,weapon_suspect,category,path,length
aeronaftics,bridgingmod,Bridging Mod,2.6.2+1.21.1,neoforge,BridgingMod-2.6.2+1.21.1.neoforge-release.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\BridgingMod-2.6.2+1.21.1.neoforge-release.jar,5924051
aeronaftics,buildinggadgets2,Building Gadgets 2,1.3.9,neoforge,buildinggadgets2-1.3.9.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\buildinggadgets2-1.3.9.jar,3858597
aeronaftics,bwncr,Bad Wither No Cookie Reloaded,${file.jarVersion},neoforge,bwncr-neoforge-1.21.1-3.20.3.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\bwncr-neoforge-1.21.1-3.20.3.jar,27537
aeronaftics,byzantine,Byzantine,48,forge,Byzantine-1.21.1-48.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\Byzantine-1.21.1-48.jar,15366705
aeronaftics,cabletiers,Cable Tiers,1.21.1-0.6.11,neoforge,cabletiers-neoforge-1.21.1-0.6.11.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\cabletiers-neoforge-1.21.1-0.6.11.jar,1442708
aeronaftics,caelus,Caelus API,7.0.1+1.21.1,neoforge,caelus-neoforge-7.0.1+1.21.1.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\caelus-neoforge-7.0.1+1.21.1.jar,50235
aeronaftics,camol,Camol,1.21.1-0.3.0,neoforge,camol-1.21.1-0.3.0.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\camol-1.21.1-0.3.0.jar,61522
aeronaftics,cataclysm,L_Ender's Cataclysm 1.21.1,3.26,neoforge,L_Ender's Cataclysm 1.21.1-3.26.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\L_Ender's Cataclysm 1.21.1-3.26.jar,73346508
aeronaftics,catjammies,CatJammies,${file.jarVersion},neoforge,catjammies-1.21-1.7.1.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\catjammies-1.21-1.7.1.jar,8784
aeronaftics,charginggadgets,Charging Gadgets,1.14.1,neoforge,charginggadgets-1.14.1.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\charginggadgets-1.14.1.jar,67206
aeronaftics,chisel,Chisel Reborn,2.0.0+mc1.21.1,neoforge,chisel-neoforge-2.0.0+mc1.21.1.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\chisel-neoforge-2.0.0+mc1.21.1.jar,8268409
aeronaftics,chromacarvings,Chroma Carvings,1.21.1-0.2.0,neoforge,chromacarvings-1.21.1-0.2.0.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\chromacarvings-1.21.1-0.2.0.jar,268974
aeronaftics,cleanswing,Clean Swing,1.9,neoforge,cleanswing-1.9.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\cleanswing-1.9.jar,8449
aeronaftics,cloudglass,Cloud Glass,${file.jarVersion},neoforge,CloudGlass-1.21.1-1.0.1.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\CloudGlass-1.21.1-1.0.1.jar,80431
aeronaftics,clumps,Clumps,19.0.0.1,neoforge,Clumps-neoforge-1.21.1-19.0.0.1.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\Clumps-neoforge-1.21.1-19.0.0.1.jar,18382
aeronaftics,cobblegengalore,Cobblegen Galore,1.21.1-0.2.8,neoforge,cobblegengalore-1.21.1-0.2.8.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\cobblegengalore-1.21.1-0.2.8.jar,87631
aeronaftics,cobweb,Cobweb,1.4.0,neoforge,cobweb-neoforge-1.21-1.4.0.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\cobweb-neoforge-1.21-1.4.0.jar,410948
aeronaftics,codechickenlib,CodeChicken Lib,4.6.1.526,neoforge,CodeChickenLib-1.21.1-4.6.1.526.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\CodeChickenLib-1.21.1-4.6.1.526.jar,1538347
aeronaftics,colorfulhearts,Colorful Hearts,10.5.9,neoforge,colorfulhearts-neoforge-1.21.1-10.5.9.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\colorfulhearts-neoforge-1.21.1-10.5.9.jar,156588
aeronaftics,commoncapabilities,CommonCapabilities,2.11.4,neoforge,commoncapabilities-1.21.1-neoforge-2.11.4.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\commoncapabilities-1.21.1-neoforge-2.11.4.jar,283919
